Month Name,Month,Year,Query Count,Query Text,Month Num,RANK,,,,,,,,,,
April,4,2019,70,Birth certificate,,1819,,,,,,,,,,
June,6,2019,70,Parcel viewer,,1819,,,,,,,,,,
July,7,2019,70,salary,,1819,,,,,,,,,,
July,7,2019,70,planning,,1819,,,,,,,,,,
October,10,2019,70,Finance,,1819,,,,,,,,,,
November,11,2019,70,recycling,,1819,,,,,,,,,,
December,12,2019,70,owner driver report,,1819,,,,,,,,,,
January,1,2020,70,hr,,1819,,,,,,,,,,
March,3,2020,70,birth certificate,,1819,,,,,,,,,,
February,2,2020,70,public works,,1819,,,,,,,,,,
April,,2014,69,employee self service,,1858,,,,,,,,,,
September,,2014,69,Animal control,,1858,,,,,,,,,,
October,,2014,69,criminal court clerk,,1858,,,,,,,,,,
February,,2015,69,employee self service,,1858,,,,,,,,,,
April,,2015,69,media releases,,1858,,,,,,,,,,
April,,2015,69,property tax,,1858,,,,,,,,,,
May,,2015,69,employee self service,,1858,,,,,,,,,,
July,,2015,69,public works,,1858,,,,,,,,,,
June,,2015,69,Animal control,,1858,,,,,,,,,,
July,,2015,69,Animal control,,1858,,,,,,,,,,
October,,2015,69,ess,,1858,,,,,,,,,,
November,,2015,69,ess,,1858,,,,,,,,,,
May,,2016,69,Jobs,,1858,,,,,,,,,,
August,,2016,69,public works,,1858,,,,,,,,,,
February,,2017,69,police report,,1858,,,,,,,,,,
April,,2017,69,police report,,1858,,,,,,,,,,
May,,2017,69,self service,,1858,,,,,,,,,,
June,,2017,69,planning,,1858,,,,,,,,,,
July,,2017,69,2017SP-020-001,,1858,,,,,,,,,,
August,,2017,69,general sessions court,,1858,,,,,,,,,,
November,,2017,69,register of deeds,,1858,,,,,,,,,,
January,,2018,69,animal control,,1858,,,,,,,,,,
March,,2018,69,police department,,1858,,,,,,,,,,
March,,2018,69,parks,,1858,,,,,,,,,,
April,,2018,69,animal control,,1858,,,,,,,,,,
May,,2018,69,metro water,,1858,,,,,,,,,,
June,,2018,69,Birth certificate,,1858,,,,,,,,,,
July,,2018,69,water,,1858,,,,,,,,,,
August,,2018,69,metro water,,1858,,,,,,,,,,
August,,2018,69,employee service ess,,1858,,,,,,,,,,
August,,2018,69,health department,,1858,,,,,,,,,,
August,,2018,69,short term rental,,1858,,,,,,,,,,
October,,2018,69,birth certificate,,1858,,,,,,,,,,
October,,2018,69,Jobs,,1858,,,,,,,,,,
November,,2018,69,permits,,1858,,,,,,,,,,
January,1,2019,69,opportunity now,,1858,,,,,,,,,,
February,2,2019,69,road closures,,1858,,,,,,,,,,
March,3,2019,69,ebid,,1858,,,,,,,,,,
August,8,2019,69,Election results,,1858,,,,,,,,,,
October,10,2019,69,accident reports,,1858,,,,,,,,,,
October,10,2019,69,property assessor,,1858,,,,,,,,,,
October,10,2019,69,SIMPLE SEARCH,,1858,,,,,,,,,,
November,11,2019,69,civil service rules,,1858,,,,,,,,,,
December,12,2019,69,bellevue Community center,,1858,,,,,,,,,,
December,12,2019,69,planning,,1858,,,,,,,,,,
December,12,2019,69,Trash,,1858,,,,,,,,,,
March,3,2020,69,Tornado,,1858,,,,,,,,,,
March,3,2020,69,business license,,1858,,,,,,,,,,
March,3,2020,69,Opportunity now,,1858,,,,,,,,,,
May,,2014,68,zoning,,1907,,,,,,,,,,
July,,2014,68,payroll,,1907,,,,,,,,,,
July,,2014,68,public works,,1907,,,,,,,,,,
September,,2014,68,inmate search,,1907,,,,,,,,,,
September,,2014,68,Civil service commission,,1907,,,,,,,,,,
December,,2014,68,accident report,,1907,,,,,,,,,,
April,,2015,68,public works,,1907,,,,,,,,,,
August,,2015,68,public works,,1907,,,,,,,,,,
May,,2016,68,employee self service,,1907,,,,,,,,,,
June,,2016,68,civil service,,1907,,,,,,,,,,
December,,2016,68,Nashville,,1907,,,,,,,,,,
April,,2017,68,benefits,,1907,,,,,,,,,,
May,,2017,68,owner driver report,,1907,,,,,,,,,,
June,,2017,68,open data,,1907,,,,,,,,,,
July,,2017,68,inmate search,,1907,,,,,,,,,,
August,,2017,68,active inmate search,,1907,,,,,,,,,,
November,,2017,68,collections,,1907,,,,,,,,,,
January,,2018,68,Employment,,1907,,,,,,,,,,
April,,2018,68,Birth certificate,,1907,,,,,,,,,,
May,,2018,68,fmla,,1907,,,,,,,,,,
June,,2018,68,birth certificate,,1907,,,,,,,,,,
June,,2018,68,pension,,1907,,,,,,,,,,
June,,2018,68,assessor,,1907,,,,,,,,,,
June,,2018,68,building permits,,1907,,,,,,,,,,
June,,2018,68,nashville police department,,1907,,,,,,,,,,
June,,2018,68,animal control,,1907,,,,,,,,,,
July,,2018,68,permits,,1907,,,,,,,,,,
November,,2018,68,election results,,1907,,,,,,,,,,
January,1,2019,68,Inmate search,,1907,,,,,,,,,,
March,3,2019,68,Accident reports,,1907,,,,,,,,,,
March,3,2019,68,parking,,1907,,,,,,,,,,
May,5,2019,68,accident reports,,1907,,,,,,,,,,
June,6,2019,68,gis,,1907,,,,,,,,,,
June,6,2019,68,property tax,,1907,,,,,,,,,,
September,9,2019,68,planning,,1907,,,,,,,,,,
November,11,2019,68,police reports,,1907,,,,,,,,,,
January,1,2020,68,assessor of property/webpro,,1907,,,,,,,,,,
January,1,2020,68,Benefits,,1907,,,,,,,,,,
January,1,2020,68,procurement,,1907,,,,,,,,,,
February,,2014,67,zoning,,1946,,,,,,,,,,
March,,2014,67,human resources,,1946,,,,,,,,,,
November,,2014,67,voting,,1946,,,,,,,,,,
April,,2015,67,Animal control,,1946,,,,,,,,,,
February,,2015,67,codes,,1946,,,,,,,,,,
June,,2015,67,employee self service,,1946,,,,,,,,,,
September,,2015,67,ess,,1946,,,,,,,,,,
October,,2015,67,civil service rules,,1946,,,,,,,,,,
June,,2016,67,zoning,,1946,,,,,,,,,,
August,,2016,67,permits,,1946,,,,,,,,,,
September,,2016,67,public works,,1946,,,,,,,,,,
October,,2016,67,employee self service,,1946,,,,,,,,,,
March,,2017,67,benefits,,1946,,,,,,,,,,
March,,2017,67,Warrants,,1946,,,,,,,,,,
April,,2017,67,trustee,,1946,,,,,,,,,,
May,,2017,67,720 form,,1946,,,,,,,,,,
May,,2017,67,metro council,,1946,,,,,,,,,,
May,,2017,67,athena,,1946,,,,,,,,,,
June,,2017,67,Warrants,,1946,,,,,,,,,,
July,,2017,67,building permit,,1946,,,,,,,,,,
September,,2017,67,Employment,,1946,,,,,,,,,,
October,,2017,67,trustee,,1946,,,,,,,,,,
October,,2017,67,parcel viewer,,1946,,,,,,,,,,
October,,2017,67,general sessions court,,1946,,,,,,,,,,
October,,2017,67,metro water,,1946,,,,,,,,,,
November,,2017,67,planning,,1946,,,,,,,,,,
November,,2017,67,fmla,,1946,,,,,,,,,,
December,,2017,67,procurement,,1946,,,,,,,,,,
January,,2018,67,water,,1946,,,,,,,,,,
January,,2018,67,Police,,1946,,,,,,,,,,
January,,2018,67,nashville police department,,1946,,,,,,,,,,
March,,2018,67,mugshots,,1946,,,,,,,,,,
April,,2018,67,alarm,,1946,,,,,,,,,,
April,,2018,67,property assessor nashville,,1946,,,,,,,,,,
June,,2018,67,police reports,,1946,,,,,,,,,,
June,,2018,67,opportunity now,,1946,,,,,,,,,,
June,,2018,67,Police,,1946,,,,,,,,,,
June,,2018,67,register of deeds,,1946,,,,,,,,,,
June,,2018,67,im,,1946,,,,,,,,,,
June,,2018,67,real property search,,1946,,,,,,,,,,
October,,2018,67,Employee self service,,1946,,,,,,,,,,
October,,2018,67,Warrants,,1946,,,,,,,,,,
February,2,2019,67,ebid,,1946,,,,,,,,,,
February,2,2019,67,permits,,1946,,,,,,,,,,
June,6,2019,67,ebid,,1946,,,,,,,,,,
August,8,2019,67,Election,,1946,,,,,,,,,,
October,10,2019,67,certificate of occupancy,,1946,,,,,,,,,,
October,10,2019,67,Owner driver report,,1946,,,,,,,,,,
November,11,2019,67,trustee,,1946,,,,,,,,,,
December,12,2019,67,water,,1946,,,,,,,,,,
March,3,2020,67,Trash,,1946,,,,,,,,,,
February,2,2020,67,procurement,,1946,,,,,,,,,,
February,,2014,66,human resources,,1998,,,,,,,,,,
April,,2014,66,property taxes,,1998,,,,,,,,,,
April,,2014,66,media release,,1998,,,,,,,,,,
August,,2014,66,property assessor,,1998,,,,,,,,,,
November,,2014,66,criminal court clerk,,1998,,,,,,,,,,
November,,2014,66,vote,,1998,,,,,,,,,,
February,,2015,66,isupplier,,1998,,,,,,,,,,
February,,2015,66,trustee,,1998,,,,,,,,,,
May,,2015,66,public works,,1998,,,,,,,,,,
May,,2015,66,media releases,,1998,,,,,,,,,,
August,,2015,66,ess,,1998,,,,,,,,,,
October,,2015,66,zoning,,1998,,,,,,,,,,
December,,2015,66,payroll,,1998,,,,,,,,,,
April,,2016,66,Nashville,,1998,,,,,,,,,,
May,,2016,66,public works,,1998,,,,,,,,,,
September,,2016,66,pension,,1998,,,,,,,,,,
October,,2016,66,accident report,,1998,,,,,,,,,,
March,,2017,66,collections,,1998,,,,,,,,,,
March,,2017,66,pension,,1998,,,,,,,,,,
April,,2017,66,im,,1998,,,,,,,,,,
April,,2017,66,library,,1998,,,,,,,,,,
April,,2017,66,salary,,1998,,,,,,,,,,
June,,2017,66,Assessor,,1998,,,,,,,,,,
July,,2017,66,isupplier,,1998,,,,,,,,,,
July,,2017,66,warrants,,1998,,,,,,,,,,
July,,2017,66,William Trepanier,,1998,,,,,,,,,,
August,,2017,66,metro water,,1998,,,,,,,,,,
August,,2017,66,health department,,1998,,,,,,,,,,
September,,2017,66,warrants,,1998,,,,,,,,,,
September,,2017,66,accident reports,,1998,,,,,,,,,,
September,,2017,66,open enrollment,,1998,,,,,,,,,,
September,,2017,66,flood,,1998,,,,,,,,,,
October,,2017,66,owner driver report,,1998,,,,,,,,,,
October,,2017,66,short term rental permit,,1998,,,,,,,,,,
November,,2017,66,Employee self service,,1998,,,,,,,,,,
January,,2018,66,fire,,1998,,,,,,,,,,
June,,2018,66,Payroll,,1998,,,,,,,,,,
July,,2018,66,register of deeds,,1998,,,,,,,,,,
July,,2018,66,nashville police department,,1998,,,,,,,,,,
August,,2018,66,inmate search,,1998,,,,,,,,,,
August,,2018,66,Recycling,,1998,,,,,,,,,,
August,,2018,66,parking,,1998,,,,,,,,,,
September,,2018,66,open data,,1998,,,,,,,,,,
September,,2018,66,Media release,,1998,,,,,,,,,,
March,3,2019,66,assessor of property/webpro,,1998,,,,,,,,,,
April,4,2019,66,Business license,,1998,,,,,,,,,,
April,4,2019,66,parking,,1998,,,,,,,,,,
May,5,2019,66,Short term rental,,1998,,,,,,,,,,
June,6,2019,66,business license,,1998,,,,,,,,,,
June,6,2019,66,water,,1998,,,,,,,,,,
September,9,2019,66,police department,,1998,,,,,,,,,,
September,9,2019,66,metro water,,1998,,,,,,,,,,
November,11,2019,66,Courts,,1998,,,,,,,,,,
March,3,2020,66,notary,,1998,,,,,,,,,,
February,2,2020,66,water,,1998,,,,,,,,,,
March,,2014,65,media releases,,2053,,,,,,,,,,
April,,2014,65,codes,,2053,,,,,,,,,,
May,,2014,65,property assessor,,2053,,,,,,,,,,
July,,2014,65,criminal court,,2053,,,,,,,,,,
November,,2014,65,longevity,,2053,,,,,,,,,,
April,,2015,65,zoning,,2053,,,,,,,,,,
April,,2015,65,accident report,,2053,,,,,,,,,,
April,,2015,65,criminal court clerk,,2053,,,,,,,,,,
February,,2015,65,ess,,2053,,,,,,,,,,
October,,2015,65,property tax,,2053,,,,,,,,,,
October,,2015,65,employee self service,,2053,,,,,,,,,,
March,,2016,65,public works,,2053,,,,,,,,,,
April,,2016,65,property maps,,2053,,,,,,,,,,
April,,2016,65,civil service,,2053,,,,,,,,,,
July,,2016,65,real property search,,2053,,,,,,,,,,
December,,2016,65,payroll,,2053,,,,,,,,,,
March,,2017,65,permit application,,2053,,,,,,,,,,
March,,2017,65,Payroll,,2053,,,,,,,,,,
April,,2017,65,Warrants,,2053,,,,,,,,,,
May,,2017,65,Warrants,,2053,,,,,,,,,,
June,,2017,65,civil service rules,,2053,,,,,,,,,,
June,,2017,65,webpro,,2053,,,,,,,,,,
July,,2017,65,zoning map,,2053,,,,,,,,,,
July,,2017,65,Inmate search,,2053,,,,,,,,,,
July,,2017,65,Birth certificate,,2053,,,,,,,,,,
July,,2017,65,Wave country,,2053,,,,,,,,,,
August,,2017,65,Human Resources,,2053,,,,,,,,,,
September,,2017,65,section 8,,2053,,,,,,,,,,
October,,2017,65,register of deeds,,2053,,,,,,,,,,
November,,2017,65,nashville police department,,2053,,,,,,,,,,
December,,2017,65,Jobs,,2053,,,,,,,,,,
January,,2018,65,register of deeds,,2053,,,,,,,,,,
January,,2018,65,warrants,,2053,,,,,,,,,,
January,,2018,65,property,,2053,,,,,,,,,,
March,,2018,65,metro holidays,,2053,,,,,,,,,,
April,,2018,65,Police report,,2053,,,,,,,,,,
April,,2018,65,planning,,2053,,,,,,,,,,
April,,2018,65,warrants,,2053,,,,,,,,,,
April,,2018,65,owner driver report,,2053,,,,,,,,,,
May,,2018,65,Police,,2053,,,,,,,,,,
May,,2018,65,im,,2053,,,,,,,,,,
May,,2018,65,birth certificate,,2053,,,,,,,,,,
June,,2018,65,owner driver report,,2053,,,,,,,,,,
June,,2018,65,divorce,,2053,,,,,,,,,,
August,,2018,65,Police,,2053,,,,,,,,,,
August,,2018,65,planning,,2053,,,,,,,,,,
August,,2018,65,gis,,2053,,,,,,,,,,
August,,2018,65,register of deeds,,2053,,,,,,,,,,
September,,2018,65,beer board,,2053,,,,,,,,,,
September,,2018,65,open enrollment,,2053,,,,,,,,,,
October,,2018,65,property assessor,,2053,,,,,,,,,,
November,,2018,65,employment,,2053,,,,,,,,,,
May,5,2019,65,metro water,,2053,,,,,,,,,,
June,6,2019,65,email,,2053,,,,,,,,,,
July,7,2019,65,salaries,,2053,,,,,,,,,,
July,7,2019,65,procurement,,2053,,,,,,,,,,
October,10,2019,65,procurement,,2053,,,,,,,,,,
October,10,2019,65,Police reports,,2053,,,,,,,,,,
November,11,2019,65,Police department,,2053,,,,,,,,,,
December,12,2019,65,holiday,,2053,,,,,,,,,,
January,1,2020,65,Police reports,,2053,,,,,,,,,,
March,3,2020,65,metro water,,2053,,,,,,,,,,
March,3,2020,65,passport,,2053,,,,,,,,,,
February,,2014,64,water,,2116,,,,,,,,,,
June,,2014,64,arrest records,,2116,,,,,,,,,,
November,,2014,64,public works,,2116,,,,,,,,,,
November,,2014,64,isupplier,,2116,,,,,,,,,,
December,,2014,64,warrants,,2116,,,,,,,,,,
January,,2015,64,property taxes,,2116,,,,,,,,,,
July,,2015,64,zoning,,2116,,,,,,,,,,
August,,2015,64,police,,2116,,,,,,,,,,
December,,2015,64,civil service,,2116,,,,,,,,,,
January,,2016,64,property maps,,2116,,,,,,,,,,
August,,2016,64,accident report,,2116,,,,,,,,,,
October,,2016,64,zoning,,2116,,,,,,,,,,
November,,2016,64,employee self service,,2116,,,,,,,,,,
February,,2017,64,dcso,,2116,,,,,,,,,,
March,,2017,64,paramedic,,2116,,,,,,,,,,
April,,2017,64,fire,,2116,,,,,,,,,,
April,,2017,64,building permit,,2116,,,,,,,,,,
May,,2017,64,gis,,2116,,,,,,,,,,
May,,2017,64,careers,,2116,,,,,,,,,,
May,,2017,64,Criminal court clerk,,2116,,,,,,,,,,
June,,2017,64,parking,,2116,,,,,,,,,,
June,,2017,64,procurement,,2116,,,,,,,,,,
June,,2017,64,library,,2116,,,,,,,,,,
June,,2017,64,pay scale,,2116,,,,,,,,,,
July,,2017,64,trash,,2116,,,,,,,,,,
July,,2017,64,arrest warrants,,2116,,,,,,,,,,
July,,2017,64,assessor,,2116,,,,,,,,,,
July,,2017,64,e permits,,2116,,,,,,,,,,
August,,2017,64,e permits,,2116,,,,,,,,,,
August,,2017,64,2017 fall classes,,2116,,,,,,,,,,
August,,2017,64,public records,,2116,,,,,,,,,,
August,,2017,64,eclipse glasses,,2116,,,,,,,,,,
October,,2017,64,permit,,2116,,,,,,,,,,
January,,2018,64,pay plan,,2116,,,,,,,,,,
January,,2018,64,Weather,,2116,,,,,,,,,,
March,,2018,64,metro water,,2116,,,,,,,,,,
April,,2018,64,active inmate search,,2116,,,,,,,,,,
April,,2018,64,isupplier,,2116,,,,,,,,,,
June,,2018,64,Human Resources,,2116,,,,,,,,,,
June,,2018,64,purchasing,,2116,,,,,,,,,,
July,,2018,64,Payroll,,2116,,,,,,,,,,
July,,2018,64,absentee voting,,2116,,,,,,,,,,
July,,2018,64,Media releases,,2116,,,,,,,,,,
September,,2018,64,Police report,,2116,,,,,,,,,,
October,,2018,64,epermits,,2116,,,,,,,,,,
October,,2018,64,beer board,,2116,,,,,,,,,,
November,,2018,64,beer board,,2116,,,,,,,,,,
February,2,2019,64,Warrants,,2116,,,,,,,,,,
April,4,2019,64,Divorce,,2116,,,,,,,,,,
May,5,2019,64,inmate search,,2116,,,,,,,,,,
June,6,2019,64,Metro Water,,2116,,,,,,,,,,
July,7,2019,64,early voting,,2116,,,,,,,,,,
July,7,2019,64,Property assessor,,2116,,,,,,,,,,
July,7,2019,64,Pay scale,,2116,,,,,,,,,,
July,7,2019,64,Notary,,2116,,,,,,,,,,
October,10,2019,64,planning,,2116,,,,,,,,,,
October,10,2019,64,property,,2116,,,,,,,,,,
December,12,2019,64,police reports,,2116,,,,,,,,,,
December,12,2019,64,pay bill,,2116,,,,,,,,,,
March,3,2020,64,finance,,2116,,,,,,,,,,
February,2,2020,64,Business license,,2116,,,,,,,,,,
February,2,2020,64,police reports,,2116,,,,,,,,,,
February,,2014,63,animal control,,2178,,,,,,,,,,
April,,2014,63,court hearings,,2178,,,,,,,,,,
July,,2014,63,birth certificate,,2178,,,,,,,,,,
December,,2014,63,arrest records,,2178,,,,,,,,,,
February,,2015,63,employment,,2178,,,,,,,,,,
January,,2017,63,procurement,,2178,,,,,,,,,,
January,,2017,63,property maps,,2178,,,,,,,,,,
July,,2015,63,police,,2178,,,,,,,,,,
July,,2015,63,payroll,,2178,,,,,,,,,,
December,,2015,63,ess,,2178,,,,,,,,,,
January,,2016,63,christmas tree,,2178,,,,,,,,,,
May,,2016,63,payroll,,2178,,,,,,,,,,
May,,2016,63,zoning,,2178,,,,,,,,,,
December,,2016,63,property maps,,2178,,,,,,,,,,
February,,2017,63,hr,,2178,,,,,,,,,,
March,,2017,63,Criminal court clerk,,2178,,,,,,,,,,
March,,2017,63,stormwater,,2178,,,,,,,,,,
March,,2017,63,owner driver report,,2178,,,,,,,,,,
March,,2017,63,real property,,2178,,,,,,,,,,
June,,2017,63,Inmate search,,2178,,,,,,,,,,
June,,2017,63,fire,,2178,,,,,,,,,,
June,,2017,63,birth certificate,,2178,,,,,,,,,,
August,,2017,63,employment opportunities,,2178,,,,,,,,,,
August,,2017,63,Police report,,2178,,,,,,,,,,
September,,2017,63,register of deeds,,2178,,,,,,,,,,
October,,2017,63,Employee self service,,2178,,,,,,,,,,
October,,2017,63,health department,,2178,,,,,,,,,,
December,,2017,63,accident reports,,2178,,,,,,,,,,
December,,2017,63,property,,2178,,,,,,,,,,
December,,2017,63,owner driver report,,2178,,,,,,,,,,
March,,2018,63,finance,,2178,,,,,,,,,,
March,,2018,63,accident reports,,2178,,,,,,,,,,
April,,2018,63,pay plan,,2178,,,,,,,,,,
April,,2018,63,Warrants,,2178,,,,,,,,,,
July,,2018,63,owner driver report,,2178,,,,,,,,,,
July,,2018,63,employee service ess,,2178,,,,,,,,,,
August,,2018,63,salaries,,2178,,,,,,,,,,
September,,2018,63,Birth certificate,,2178,,,,,,,,,,
October,,2018,63,new service,,2178,,,,,,,,,,
October,,2018,63,Media release,,2178,,,,,,,,,,
October,,2018,63,register of deeds,,2178,,,,,,,,,,
November,,2018,63,metro water services,,2178,,,,,,,,,,
November,,2018,63,pension,,2178,,,,,,,,,,
January,1,2019,63,property,,2178,,,,,,,,,,
January,1,2019,63,holidays,,2178,,,,,,,,,,
March,3,2019,63,business license,,2178,,,,,,,,,,
April,4,2019,63,metro water,,2178,,,,,,,,,,
May,5,2019,63,civil service rules,,2178,,,,,,,,,,
May,5,2019,63,finance,,2178,,,,,,,,,,
July,7,2019,63,dcso,,2178,,,,,,,,,,
August,8,2019,63,hr,,2178,,,,,,,,,,
August,8,2019,63,property tax,,2178,,,,,,,,,,
September,9,2019,63,finance,,2178,,,,,,,,,,
October,10,2019,63,Metro water,,2178,,,,,,,,,,
November,11,2019,63,civil service,,2178,,,,,,,,,,
November,11,2019,63,email,,2178,,,,,,,,,,
December,12,2019,63,warrants,,2178,,,,,,,,,,
March,3,2020,63,road closures,,2178,,,,,,,,,,
January,,2014,62,police,,2236,,,,,,,,,,
February,,2014,62,property assessor,,2236,,,,,,,,,,
October,,2014,62,property tax,,2236,,,,,,,,,,
January,,2017,62,civil service,,2236,,,,,,,,,,
January,,2017,62,accident report,,2236,,,,,,,,,,
June,,2015,62,accident report,,2236,,,,,,,,,,
November,,2015,62,civil service,,2236,,,,,,,,,,
January,,2016,62,accident report,,2236,,,,,,,,,,
June,,2016,62,jobs,,2236,,,,,,,,,,
June,,2016,62,open data,,2236,,,,,,,,,,
July,,2016,62,pay scale,,2236,,,,,,,,,,
July,,2016,62,open data,,2236,,,,,,,,,,
September,,2016,62,zoning,,2236,,,,,,,,,,
September,,2016,62,codes,,2236,,,,,,,,,,
November,,2016,62,codes,,2236,,,,,,,,,,
January,,2017,62,police,,2236,,,,,,,,,,
February,,2017,62,water,,2236,,,,,,,,,,
February,,2017,62,real property search,,2236,,,,,,,,,,
March,,2017,62,arrest records,,2236,,,,,,,,,,
April,,2017,62,zoning map,,2236,,,,,,,,,,
April,,2017,62,Opportunity now,,2236,,,,,,,,,,
May,,2017,62,building permits,,2236,,,,,,,,,,
August,,2017,62,business license,,2236,,,,,,,,,,
August,,2017,62,inside metro,,2236,,,,,,,,,,
August,,2017,62,centennial park,,2236,,,,,,,,,,
August,,2017,62,benefits,,2236,,,,,,,,,,
August,,2017,62,Employment,,2236,,,,,,,,,,
August,,2017,62,collections,,2236,,,,,,,,,,
August,,2017,62,recycling,,2236,,,,,,,,,,
September,,2017,62,outstanding warrants,,2236,,,,,,,,,,
September,,2017,62,pay plan,,2236,,,,,,,,,,
December,,2017,62,Warrants,,2236,,,,,,,,,,
January,,2018,62,metro water,,2236,,,,,,,,,,
March,,2018,62,public records,,2236,,,,,,,,,,
March,,2018,62,@nashville.gov email,,2236,,,,,,,,,,
March,,2018,62,benefits,,2236,,,,,,,,,,
April,,2018,62,benefits,,2236,,,,,,,,,,
April,,2018,62,bl2017-820,,2236,,,,,,,,,,
May,,2018,62,isupplier,,2236,,,,,,,,,,
May,,2018,62,Media releases,,2236,,,,,,,,,,
May,,2018,62,water,,2236,,,,,,,,,,
June,,2018,62,retirement,,2236,,,,,,,,,,
June,,2018,62,isupplier,,2236,,,,,,,,,,
July,,2018,62,epermits,,2236,,,,,,,,,,
October,,2018,62,Early voting locations,,2236,,,,,,,,,,
October,,2018,62,Inmate search,,2236,,,,,,,,,,
January,1,2019,62,permits,,2236,,,,,,,,,,
March,3,2019,62,property,,2236,,,,,,,,,,
June,6,2019,62,assessor of property/webpro,,2236,,,,,,,,,,
August,8,2019,62,civil service rules,,2236,,,,,,,,,,
November,11,2019,62,water,,2236,,,,,,,,,,
December,12,2019,62,Careers,,2236,,,,,,,,,,
January,1,2020,62,opportunity now,,2236,,,,,,,,,,
January,1,2020,62,simple search,,2236,,,,,,,,,,
January,1,2020,62,trustee,,2236,,,,,,,,,,
February,2,2020,62,job,,2236,,,,,,,,,,
February,2,2020,62,Warrants,,2236,,,,,,,,,,
January,,2014,61,criminal court clerk,,2293,,,,,,,,,,
April,,2014,61,ess,,2293,,,,,,,,,,
August,,2014,61,employee self service,,2293,,,,,,,,,,
September,,2014,61,zoning,,2293,,,,,,,,,,
May,,2015,61,ess,,2293,,,,,,,,,,
June,,2015,61,pay plan,,2293,,,,,,,,,,
October,,2015,61,criminal court clerk,,2293,,,,,,,,,,
December,,2015,61,accident report,,2293,,,,,,,,,,
February,,2016,61,permits,,2293,,,,,,,,,,
February,,2016,61,civil service rules,,2293,,,,,,,,,,
June,,2016,61,employee self service,,2293,,,,,,,,,,
November,,2016,61,real property search,,2293,,,,,,,,,,
November,,2016,61,holidays,,2293,,,,,,,,,,
November,,2016,61,property maps,,2293,,,,,,,,,,
December,,2016,61,zoning,,2293,,,,,,,,,,
December,,2016,61,codes,,2293,,,,,,,,,,
February,,2017,61,inside metro,,2293,,,,,,,,,,
February,,2017,61,William trepanier,,2293,,,,,,,,,,
March,,2017,61,webpro,,2293,,,,,,,,,,
March,,2017,61,trustee,,2293,,,,,,,,,,
March,,2017,61,police department,,2293,,,,,,,,,,
April,,2017,61,owner driver report,,2293,,,,,,,,,,
June,,2017,61,Codes,,2293,,,,,,,,,,
July,,2017,61,Media release,,2293,,,,,,,,,,
July,,2017,61,Employment,,2293,,,,,,,,,,
November,,2017,61,holiday,,2293,,,,,,,,,,
December,,2017,61,building permits,,2293,,,,,,,,,,
January,,2018,61,inmate search,,2293,,,,,,,,,,
January,,2018,61,library,,2293,,,,,,,,,,
January,,2018,61,centennial sportsplex,,2293,,,,,,,,,,
March,,2018,61,pension calculator,,2293,,,,,,,,,,
March,,2018,61,Inmates,,2293,,,,,,,,,,
May,,2018,61,business license,,2293,,,,,,,,,,
May,,2018,61,Employee self service,,2293,,,,,,,,,,
May,,2018,61,county clerk,,2293,,,,,,,,,,
May,,2018,61,owner driver report form,,2293,,,,,,,,,,
June,,2018,61,Employee self service,,2293,,,,,,,,,,
August,,2018,61,police reports,,2293,,,,,,,,,,
August,,2018,61,business license,,2293,,,,,,,,,,
September,,2018,61,Employment,,2293,,,,,,,,,,
October,,2018,61,Criminal court clerk,,2293,,,,,,,,,,
October,,2018,61,water,,2293,,,,,,,,,,
October,,2018,61,Accident report,,2293,,,,,,,,,,
November,,2018,61,planning,,2293,,,,,,,,,,
January,1,2019,61,careers,,2293,,,,,,,,,,
January,1,2019,61,warrants,,2293,,,,,,,,,,
February,2,2019,61,careers,,2293,,,,,,,,,,
April,4,2019,61,opportunity now,,2293,,,,,,,,,,
April,4,2019,61,Water,,2293,,,,,,,,,,
April,4,2019,61,property tax,,2293,,,,,,,,,,
June,6,2019,61,procurement,,2293,,,,,,,,,,
June,6,2019,61,pay plan,,2293,,,,,,,,,,
July,7,2019,61,email,,2293,,,,,,,,,,
September,9,2019,61,civil service,,2293,,,,,,,,,,
November,11,2019,61,Longevity pay,,2293,,,,,,,,,,
November,11,2019,61,procurement,,2293,,,,,,,,,,
December,12,2019,61,trustee,,2293,,,,,,,,,,
January,1,2020,61,trash,,2293,,,,,,,,,,
March,3,2020,61,procurement,,2293,,,,,,,,,,
July,,2014,60,media release,,2352,,,,,,,,,,
August,,2014,60,media release,,2352,,,,,,,,,,
August,,2014,60,arrest records,,2352,,,,,,,,,,
August,,2014,60,zoning,,2352,,,,,,,,,,
September,,2014,60,im,,2352,,,,,,,,,,
December,,2014,60,pay scale,,2352,,,,,,,,,,
December,,2014,60,isupplier,,2352,,,,,,,,,,
February,,2015,60,trash pickup,,2352,,,,,,,,,,
April,,2015,60,property taxes,,2352,,,,,,,,,,
June,,2015,60,im,,2352,,,,,,,,,,
August,,2015,60,property assessor,,2352,,,,,,,,,,
February,,2016,60,employee self service,,2352,,,,,,,,,,
April,,2016,60,property taxes,,2352,,,,,,,,,,
May,,2016,60,real property search,,2352,,,,,,,,,,
June,,2016,60,public works,,2352,,,,,,,,,,
August,,2016,60,criminal court clerk,,2352,,,,,,,,,,
February,,2017,60,Bellevue,,2352,,,,,,,,,,
February,,2017,60,gis,,2352,,,,,,,,,,
March,,2017,60,summer camp,,2352,,,,,,,,,,
